Total configs: 256
============================================================
P2.3: 256 Sobol Train-Only Screen (XS-REV + P4 + P5)
  [278] lb=72 so=1.0 r=3 p=0.5 f=0.5: ann=35.05% DD=26.05% pos=5/5 [62s]
  [280] lb=72 so=1.0 r=7 p=1.0 f=0.25: ann=34.48% DD=13.45% pos=5/5 [63s]
  [282] lb=72 so=1.0 r=7 p=0.5 f=0.5: ann=35.05% DD=26.05% pos=5/5 [62s]
  [284] lb=72 so=1.0 r=14 p=1.0 f=0.25: ann=34.47% DD=13.46% pos=5/5 [61s]
  Progress: 96/160 (total: 287/256)
  [286] lb=72 so=1.0 r=14 p=0.5 f=0.5: ann=35.04% DD=26.06% pos=5/5 [63s]
  Checkpoint: 192 configs
  [288] lb=96 so=0.25 r=1 p=1.0 f=0.25: ann=33.67% DD=25.59% pos=5/5 [64s]
  [290] lb=96 so=0.25 r=1 p=0.5 f=0.5: ann=33.98% DD=27.35% pos=5/5 [64s]
  [292] lb=96 so=0.25 r=3 p=1.0 f=0.25: ann=33.70% DD=25.57% pos=5/5 [65s]
  [294] lb=96 so=0.25 r=3 p=0.5 f=0.5: ann=34.01% DD=27.29% pos=5/5 [64s]
  [300] lb=96 so=0.25 r=14 p=1.0 f=0.25: ann=33.71% DD=25.57% pos=5/5 [65s]
  [302] lb=96 so=0.25 r=14 p=0.5 f=0.5: ann=34.01% DD=27.29% pos=5/5 [64s]
  [304] lb=96 so=0.5 r=1 p=1.0 f=0.25: ann=34.42% DD=13.66% pos=5/5 [65s]
  [306] lb=96 so=0.5 r=1 p=0.5 f=0.5: ann=33.20% DD=27.26% pos=5/5 [64s]
  [308] lb=96 so=0.5 r=3 p=1.0 f=0.25: ann=34.45% DD=13.64% pos=5/5 [64s]
  [310] lb=96 so=0.5 r=3 p=0.5 f=0.5: ann=33.22% DD=27.23% pos=5/5 [65s]
  [316] lb=96 so=0.5 r=14 p=1.0 f=0.25: ann=34.44% DD=13.64% pos=5/5 [64s]
  Progress: 112/160 (total: 319/256)
  [318] lb=96 so=0.5 r=14 p=0.5 f=0.5: ann=33.22% DD=27.23% pos=5/5 [64s]
  [320] lb=96 so=0.75 r=1 p=1.0 f=0.25: ann=35.07% DD=13.56% pos=5/5 [64s]
  [322] lb=96 so=0.75 r=1 p=0.5 f=0.5: ann=34.70% DD=15.61% pos=5/5 [64s]
  [324] lb=96 so=0.75 r=3 p=1.0 f=0.25: ann=35.09% DD=13.55% pos=5/5 [65s]
  [326] lb=96 so=0.75 r=3 p=0.5 f=0.5: ann=34.71% DD=15.60% pos=5/5 [64s]
  [328] lb=96 so=0.75 r=7 p=1.0 f=0.25: ann=35.11% DD=13.53% pos=5/5 [65s]
  [330] lb=96 so=0.75 r=7 p=0.5 f=0.5: ann=34.73% DD=15.58% pos=5/5 [64s]
